Data Taken from https://www.kaggle.com/datasets/threnjen/board-games-database-from-boardgamegeek?resource=download&select=games.csv,,,
About Board Game Categories and Rankings,,,
Modified/Transformed/Cleaned by Sarah Cannon,,,
For CSCI 36,Fall 2024, Claremont McKenna College,
,,,
BGGId,Name,AvgRating,Category
1,Die Macher,7.61428,Strategy
2,Dragonmaster,6.64537,Strategy
3,Samurai,7.45601,Strategy
4,Tal der Könige,6.60006,Other
5,Acquire,7.33861,Strategy
6,Mare Mediterraneum,6.5537,Other
7,Cathedral,6.52083,Abstract
8,Lords of Creation,6.10716,Other
9,El Caballero,6.45265,Strategy
10,Elfenland,6.69695,Family
11,Bohnanza,7.04068,Family
12,Ra,7.47924,Strategy
16,MarraCash,6.83223,Strategy
17,Button Men,6.37009,CGS
19,Wacky Wacky West,6.29107,Family
20,Full Metal Planète,7.48874,Strategy
21,Gateway to the Stars,5.5,Other
24,Twilight Imperium,6.62609,Thematic
26,Age of Renaissance,7.09678,Strategy
27,Supremacy: The Game of the Superpowers,5.65347,War
29,Terrain Vague,6.68521,Other
30,Dark Tower,6.84482,Thematic
31,Dark World,5.36587,Thematic
32,Buffalo Chess,6.06147,Abstract
34,Arkham Horror,6.64889,Thematic
36,Federation & Empire,6.40295,War
37,Dragon Masters,5.8106,War
38,Runes,6.16082,Other
39,Darkover,5.29583,Other
41,Can't Stop,6.85195,Family
42,Tigris & Euphrates,7.69599,Strategy
43,Airlines,6.58402,Strategy
44,David & Goliath,6.45438,Family
46,Medici,7.15626,Strategy
47,Chinatown,7.35277,Strategy
48,Krieg und Frieden,6.09125,Strategy
49,Mamma Mia!,6.47074,Family
50,Lost Cities,7.18784,Family
51,Ricochet Robots,7.01391,Abstract
52,Mighty Empires,6.16538,War
53,Brauerei,5.96143,Other
54,Tikal,7.33204,Strategy
55,Sophie's World,4.87444,Other
57,Schoko & Co.,6.65293,Strategy
59,Giganten,6.69704,Strategy
60,Vinci,7.07778,Strategy
62,Curse of the Mummy's Tomb,5.31848,Thematic
63,Samurai: Game of Politics and Warfare in Feudal Japan,6.45191,War
66,Löwenherz,7.02767,Strategy
67,Conquest,6.36488,War
68,Successors (First/Second Edition),7.04767,War
69,Bollox,6.77708,Abstract
71,Civilization,7.49788,Strategy
72,Verräter,6.69248,Strategy
74,Apples to Apples,5.79633,Party
75,Falling,5.49727,Party
76,Air Baron,6.39729,Strategy
77,EastFront,7.66357,War
78,"WestFront: The War in Europe, 1943-45",6.8324,War
79,MedFront: War in North Africa 1940-43,6.33226,War
82,Bobby Lee: The Civil War in Virginia 1861-1865,6.72803,War
83,Sam Grant: The Civil War in the West 1862-1864,6.36194,War
84,Rommel in the Desert,7.54678,War
85,Quebec 1759,6.9628,War
87,Victory: World War II,6.36869,War
89,Blue vs. Gray,6.75127,War
90,Star Wars: Episode 1: Clash of the Lightsabers,6.21853,Family
91,Paths of Glory,8.05888,War
93,El Grande,7.74966,Strategy
94,Union Pacific,7.20662,Strategy
95,Igel Ärgern,6.4098,Family
96,Broadsides & Boarding Parties,6.17637,Thematic
98,Axis & Allies,6.56572,War
101,Detroit-Cleveland Grand Prix,6.77823,Family
104,Extrablatt,7.00167,Strategy
108,TAMSK,6.77217,Abstract
110,Auf Achse,6.24084,Family
111,Rheinländer,6.61795,Strategy
112,Condottiere,6.84772,Strategy
113,Mit List und Tücke,6.63968,Other
114,Ransom,6.37532,Other
116,Guillotine,6.53333,Family
117,Ta Yü,6.95651,Abstract
118,Modern Art,7.43439,Strategy
120,Hoity Toity,6.52246,Family
122,Quo Vadis?,6.46065,Strategy
124,Primordial Soup,6.93839,Strategy
125,Money!,6.52763,Family
126,The Really Nasty Horse Racing Game,6.24935,Party
127,Princess Ryan's Star Marines,5.37867,War
130,Iron Dragon,6.99871,Strategy
132,Caesar & Cleopatra,6.40481,Strategy
133,Frischfleisch,6.13926,Strategy
134,Cape Horn,5.98759,Family
135,Kontor,5.96321,Strategy
136,Robin Hood,5.46905,Other
137,Pass the Bomb,5.81847,Party
142,Vino,6.44544,Strategy
144,Elfenwizards,6.1566,Other
147,Crude: The Oil Game,6.72543,Strategy
148,Die Glücksritter,5.71333,Other
151,Piratenbillard,6.55891,Other
152,Mü & More,7.15323,Strategy
153,Take 5!,6.49846,Family
154,Union vs. Central,6.74808,Strategy
156,Wildlife Adventure,6.80333,Family
157,Eurorails,7.08606,Strategy
163,Balderdash,6.46347,Party
165,Black Box,6.37984,Abstract
166,Black Death,5.74632,Other
167,Dicke Kartoffeln,6.22516,Strategy
168,Empire Builder,6.94845,Strategy
169,En Garde,6.49615,Family
171,Chess,7.15112,Abstract
172,For Sale,7.2261,Family
173,Formula Dé,6.99426,Other
174,T-Rex,5.50672,Other
175,What the Heck?,6.4631,Family
178,Mole Hill,6.00392,Abstract
179,Nuba,6.30333,Abstract
180,Pool Position,5.72889,Abstract
182,Knights of Charlemagne,6.36689,Family
183,Stonehenge,6.31591,Abstract
185,Devil Bunny Needs a Ham,5.39487,Family
